Zm00001d029601_T002	1328	1012.78	114.398	7.9169
Zm00001d029601_T003	1377	1061.78	45.0496	2.97377
Zm00001d049974_T007	3601	3285.78	66.4328	1.41708
Zm00001d015029_T002	1965	1649.78	601.948	25.5731
Zm00001d027927_T001	917	601.904	0	0
Zm00001d010526_T003	1826	1510.78	1.06601	0.0494551
Zm00001d012034_T004	2231	1915.78	2.60171	0.0951838
Zm00001d002263_T001	601	286.421	9.06597	2.21849
Zm00001d026532_T010	5338	5022.78	11.475	0.160124
Zm00001d031457_T001	3333	3017.78	45.6458	1.06014
Zm00001d047757_T002	1514	1198.78	6.1847	0.361601
Zm00001d014967_T038	6011	5695.78	0	0
Zm00001d015082_T026	6334	6018.78	0	0
Zm00001d012674_T007	1289	973.776	44.6014	3.21025
Zm00001d033370_T007	917	601.904	2.25567	0.262662
Zm00001d009594_T005	1917	1601.78	0	0
Zm00001d005507_T002	6327	6011.78	107.468	1.25292
Zm00001d032921_T001	2200	1884.78	1.61702	0.060132
Zm00001d035772_T007	3341	3025.78	8.91601	0.20653
Zm00001d049442_T013	2326	2010.78	22.7102	0.791601
Zm00001d024612_T034	4601	4285.78	24.4464	0.399792
Zm00001d037346_T008	6335	6019.78	0.0196669	0.000228983
Zm00001d033158_T005	3551	3235.78	542.601	11.7531
Zm00001d033158_T007	5025	4709.78	22.7531	0.338601
Zm00001d053109_T007	4986	4670.78	4.37174	0.0656015
Zm00001d008531_T005	2917	2601.78	7.48293	0.201581
Zm00001d021844_T026	3688	3372.78	12.5167	0.260106
Zm00001d021844_T008	6015	5699.78	22.6643	0.278697
Zm00001d028597_T007	2629	2313.78	4.60183	0.139398
Zm00001d032739_T004	3601	3285.78	35.6538	0.76053
Zm00001d005324_T001	2172	1856.78	0.0254348	0.000960102
Zm00001d039563_T025	6328	6012.78	0	0
Zm00001d028114_T001	2816	2500.78	37.8251	1.06012
Zm00001d040888_T003	6326	6010.78	2.41653	0.028178
Zm00001d028691_T002	917	601.904	153.529	17.8778
Zm00001d029550_T006	6012	5696.78	0	0
Zm00001d044292_T001	1481	1165.78	1	0.060122
Zm00001d014486_T002	1414	1098.78	174.955	11.1601
Zm00001d031626_T001	601	286.421	6	1.46823
Zm00001d009424_T010	2601	2285.78	164.063	5.03067
Zm00001d031398_T001	2340	2024.78	7.51516	0.260141
Zm00001d021617_T001	4833	4517.78	103.234	1.60157
Zm00001d039046_T013	5917	5601.78	0	0
Zm00001d002402_T002	1513	1197.78	29.1547	1.70601
Zm00001d039483_T001	1601	1285.78	520.286	28.3613
Zm00001d030340_T002	6018	5702.78	0	0
Zm00001d031969_T002	596	281.45	2.08652	0.519601
Zm00001d043578_T009	5335	5019.78	0.000329555	4.60142e-06
Zm00001d052083_T013	4813	4497.78	11.7821	0.183601
Zm00001d018625_T092	4601	4285.78	0	0
Zm00001d028957_T001	1047	731.776	110.684	10.6012
Zm00001d005372_T005	3601	3285.78	0	0
Zm00001d052445_T003	6011	5695.78	0	0
Zm00001d009601_T001	603	288.421	0	0
Zm00001d042922_T008	1917	1601.78	0	0
Zm00001d027769_T004	3601	3285.78	4.21352	0.0898785
Zm00001d026621_T024	3601	3285.78	77.9291	1.6623
Zm00001d026621_T011	3601	3285.78	0	0
Zm00001d043563_T001	2712	2396.78	9.60119	0.280767
Zm00001d014986_T005	2195	1879.78	42.9628	1.6019
Zm00001d027838_T001	1635	1319.78	47	2.49601
Zm00001d039404_T001	1601	1285.78	65	3.54321
